Time(s),Index,RPM,Throttle(%),AccelX,AccelY,AccelZ,Current(A),Voltage(V),Thrust(g.f),Power(W)
8.954,17621,0,43,2009,2000,2498,0.190,12.18,209.00,2.31
8.954,17622,0,43,2009,2000,2498,0.197,12.18,208.00,2.40
8.954,17623,0,43,2008,2000,2498,0.205,12.18,206.00,2.50
8.954,17624,0,43,2009,2000,2498,0.197,12.18,208.00,2.40
8.954,17625,0,43,2009,2000,2498,0.197,12.18,208.00,2.40
8.954,17626,0,43,2008,2000,2497,0.205,12.18,211.00,2.50
8.954,17627,0,43,2008,2000,2497,0.205,12.19,211.00,2.50
8.955,17628,0,43,2008,1999,2497,0.197,12.19,209.00,2.40
8.955,17629,0,43,2008,1999,2498,0.197,12.18,208.00,2.40
8.955,17630,0,43,2008,2000,2497,0.205,12.19,209.00,2.50
8.955,17631,0,43,2007,1998,2499,0.205,12.19,206.00,2.50
8.955,17632,0,43,2007,1998,2499,0.197,12.18,208.00,2.40
8.955,17633,0,43,2007,1998,2499,0.197,12.17,208.00,2.40
8.955,17634,0,43,2008,2000,2496,0.219,12.19,212.00,2.67
8.955,17635,0,43,2007,1999,2497,0.212,12.19,211.00,2.58
8.955,17636,0,43,2008,1999,2497,0.212,12.19,209.00,2.58
8.955,17637,0,43,2008,1999,2497,0.212,12.19,211.00,2.58
8.955,17638,0,43,2008,2000,2496,0.212,12.19,211.00,2.58
8.955,17639,0,43,2007,1998,2499,0.205,12.17,206.00,2.49
8.955,17640,0,43,2009,2000,2498,0.197,12.19,208.00,2.40
8.955,17641,0,43,2008,2000,2499,0.197,12.19,206.00,2.40
8.955,17642,0,43,2007,1999,2499,0.197,12.18,208.00,2.40
8.955,17643,0,43,2008,1999,2499,0.205,12.18,206.00,2.50
8.956,17644,0,44,2008,1999,2499,0.205,12.18,206.00,2.50
8.956,17645,0,44,2008,1999,2498,0.190,12.18,208.00,2.31
8.956,17646,0,44,2007,1998,2498,0.205,12.19,208.00,2.50
8.956,17647,0,44,2007,1998,2498,0.219,12.19,206.00,2.67
8.956,17648,0,44,2007,1999,2497,0.212,12.19,209.00,2.58
8.956,17649,0,44,2008,1999,2498,0.205,12.19,209.00,2.50
8.956,17650,0,44,2007,1998,2499,0.197,12.18,206.00,2.40
8.956,17651,0,44,2008,1999,2498,0.205,12.18,208.00,2.50
8.956,17652,0,44,2008,2000,2496,0.205,12.19,212.00,2.50
8.956,17653,0,44,2008,2000,2496,0.212,12.19,211.00,2.58
8.956,17654,0,44,2008,2000,2496,0.212,12.19,212.00,2.58
8.956,17655,0,44,2007,1999,2498,0.219,12.20,208.00,2.67
8.956,17656,0,44,2008,2000,2496,0.219,12.19,212.00,2.67
8.956,17657,0,44,2007,1998,2498,0.212,12.19,209.00,2.58
8.956,17658,0,44,2007,1998,2498,0.197,12.19,208.00,2.40
8.956,17659,0,44,2008,1999,2498,0.197,12.18,208.00,2.40
8.956,17660,0,44,2008,2000,2498,0.205,12.19,209.00,2.50
8.957,17661,0,44,2008,2000,2498,0.205,12.18,209.00,2.50
8.957,17662,0,44,2008,2000,2498,0.205,12.18,208.00,2.50
8.957,17663,0,44,2007,1998,2499,0.197,12.19,206.00,2.40
8.957,17664,0,44,2009,2000,2497,0.197,12.18,209.00,2.40
8.957,17665,0,44,2008,1999,2498,0.205,12.19,208.00,2.50
8.957,17666,0,44,2008,2000,2498,0.197,12.19,209.00,2.40
8.957,17667,0,44,2008,1999,2496,0.212,12.19,212.00,2.58
8.957,17668,0,44,2008,1999,2499,0.197,12.18,206.00,2.40
8.957,17669,0,44,2008,1999,2496,0.205,12.19,212.00,2.50
8.957,17670,0,44,2008,2001,2497,0.197,12.19,209.00,2.40
8.957,17671,0,44,2008,1999,2498,0.212,12.18,208.00,2.58
8.957,17672,0,44,2009,2001,2497,0.197,12.19,211.00,2.40
8.957,17673,0,44,2008,1999,2496,0.212,12.19,211.00,2.58
8.957,17674,0,44,2007,1999,2497,0.205,12.18,211.00,2.50
8.957,17675,0,44,2008,1999,2497,0.212,12.19,209.00,2.58
8.957,17676,0,44,2008,2000,2497,0.212,12.19,211.00,2.58
8.957,17677,0,44,2008,2000,2498,0.197,12.18,209.00,2.40
8.957,17678,0,44,2007,1999,2497,0.205,12.19,211.00,2.50
8.957,17679,0,44,2008,2000,2499,0.205,12.18,206.00,2.50
8.958,17680,0,44,2009,2001,2497,0.197,12.18,209.00,2.40
8.958,17681,0,44,2009,2000,2497,0.197,12.18,209.00,2.40
8.958,17682,0,44,2008,2001,2497,0.197,12.18,209.00,2.40
8.958,17683,0,44,2007,1999,2496,0.212,12.19,212.00,2.58
8.958,17684,0,44,2008,2000,2496,0.219,12.20,211.00,2.67
8.958,17685,0,44,2008,2000,2496,0.197,12.19,211.00,2.40
8.958,17686,0,44,2007,1999,2499,0.197,12.18,208.00,2.40
8.958,17687,0,44,2007,1999,2497,0.212,12.19,211.00,2.58
8.958,17688,0,44,2008,2000,2496,0.197,12.19,211.00,2.40
8.958,17689,0,44,2007,1998,2497,0.205,12.18,209.00,2.50
8.958,17690,0,44,2006,1998,2497,0.190,12.17,209.00,2.31
8.958,17691,0,44,2008,1998,2498,0.205,12.19,208.00,2.50
8.958,17692,0,44,2007,1999,2496,0.205,12.18,211.00,2.50
8.958,17693,0,44,2007,1998,2497,0.190,12.18,211.00,2.31
8.958,17694,0,44,2008,1999,2497,0.197,12.18,209.00,2.40
8.958,17695,0,44,2007,1997,2498,0.183,12.16,208.00,2.23
8.959,17696,0,44,2007,1998,2497,0.190,12.18,211.00,2.31
8.959,17697,0,44,2007,2000,2498,0.197,12.18,208.00,2.40
8.959,17698,0,44,2008,1999,2497,0.190,12.18,209.00,2.31
8.959,17699,0,44,2008,2000,2498,0.197,12.18,208.00,2.40
8.959,17700,0,44,2009,2000,2497,0.205,12.19,211.00,2.50
8.959,17701,0,44,2010,2001,2497,0.205,12.19,209.00,2.50
8.959,17702,0,44,2007,1999,2496,0.219,12.19,211.00,2.67
8.959,17703,0,44,2007,1998,2498,0.212,12.19,208.00,2.58
8.959,17704,0,45,2007,1999,2496,0.205,12.19,211.00,2.50
8.959,17705,0,45,2007,1999,2499,0.197,12.18,208.00,2.40
8.959,17706,0,45,2008,2000,2496,0.212,12.19,212.00,2.58
8.959,17707,0,45,2008,1999,2498,0.190,12.18,209.00,2.31
8.959,17708,0,45,2007,1997,2499,0.205,12.18,206.00,2.50
8.959,17709,0,45,2008,1998,2497,0.205,12.19,209.00,2.50
8.959,17710,0,45,2008,1998,2497,0.205,12.19,209.00,2.50
8.960,17711,0,45,2007,1998,2497,0.197,12.18,209.00,2.40
8.960,17712,0,45,2008,1999,2496,0.205,12.19,211.00,2.50
8.960,17713,0,45,2008,1999,2497,0.197,12.18,209.00,2.40
8.960,17714,0,45,2007,1998,2496,0.197,12.19,211.00,2.40
8.960,17715,0,45,2008,1999,2496,0.197,12.19,211.00,2.40
8.960,17716,0,45,2007,1998,2497,0.197,12.18,209.00,2.40
8.960,17717,0,45,2009,2001,2498,0.205,12.19,208.00,2.50
8.960,17718,0,45,2009,2001,2498,0.205,12.19,208.00,2.50
8.960,17719,0,45,2008,2000,2498,0.197,12.17,208.00,2.40
8.960,17720,0,45,2009,2000,2498,0.197,12.18,209.00,2.40
8.960,17721,0,45,2008,2000,2496,0.205,12.18,212.00,2.50
8.960,17722,0,45,2008,2000,2496,0.212,12.19,212.00,2.58
8.960,17723,0,45,2008,2001,2496,0.212,12.19,212.00,2.58
8.960,17724,0,45,2008,1999,2498,0.197,12.18,208.00,2.40
8.960,17725,0,45,2009,2000,2497,0.212,12.19,211.00,2.58
8.960,17726,0,45,2007,1998,2498,0.205,12.18,208.00,2.50
8.961,17727,0,45,2006,1997,2498,0.197,12.18,208.00,2.40
8.961,17728,0,45,2008,1999,2496,0.197,12.19,211.00,2.40
8.961,17729,0,45,2009,2001,2497,0.197,12.17,209.00,2.40
8.961,17730,0,45,2008,2000,2496,0.205,12.19,212.00,2.50
8.961,17731,0,45,2008,2000,2496,0.219,12.20,212.00,2.67
8.961,17732,0,45,2008,1999,2498,0.212,12.19,209.00,2.58
8.961,17733,0,45,2008,2001,2496,0.212,12.19,212.00,2.58
8.961,17734,0,45,2009,2000,2498,0.205,12.19,208.00,2.50
8.961,17735,0,45,2007,1998,2497,0.212,12.19,211.00,2.58
8.961,17736,0,45,2006,1998,2499,0.205,12.19,206.00,2.50
8.961,17737,0,45,2008,1999,2497,0.197,12.19,209.00,2.40
8.961,17738,0,45,2009,2001,2497,0.205,12.19,209.00,2.50
8.961,17739,0,45,2009,2001,2497,0.197,12.18,211.00,2.40
8.961,17740,0,45,2008,1999,2497,0.219,12.19,209.00,2.67
8.961,17741,0,45,2008,2001,2496,0.212,12.19,211.00,2.58
8.961,17742,0,45,2008,2000,2496,0.205,12.19,211.00,2.50
8.962,17743,0,45,2007,1999,2499,0.197,12.18,206.00,2.40
8.962,17744,0,45,2008,2000,2497,0.205,12.19,209.00,2.50
8.962,17745,0,45,2008,1998,2497,0.212,12.19,208.00,2.58
8.962,17746,0,45,2008,1999,2497,0.197,12.18,209.00,2.40
8.962,17747,0,45,2008,1999,2496,0.205,12.19,212.00,2.50
8.962,17748,0,45,2008,2000,2499,0.197,12.17,206.00,2.40
8.962,17749,0,45,2008,2000,2496,0.212,12.19,211.00,2.58
8.962,17750,0,45,2008,2000,2497,0.212,12.19,211.00,2.58
8.962,17751,0,45,2008,1999,2497,0.205,12.18,211.00,2.50
8.962,17752,0,45,2008,1999,2497,0.205,12.19,211.00,2.50
8.962,17753,0,45,2008,1999,2498,0.205,12.18,206.00,2.50
8.962,17754,0,45,2008,1999,2497,0.212,12.19,209.00,2.58
8.962,17755,0,45,2007,1998,2498,0.205,12.19,206.00,2.50
8.962,17756,0,45,2007,1999,2498,0.197,12.18,209.00,2.40
8.962,17757,0,45,2008,2000,2498,0.197,12.18,208.00,2.40
8.962,17758,0,45,2009,2000,2499,0.190,12.17,208.00,2.31
8.963,17759,0,45,2008,1999,2497,0.205,12.19,209.00,2.50
8.963,17760,0,45,2008,1999,2497,0.197,12.19,209.00,2.40
8.963,17761,0,45,2008,1999,2497,0.212,12.19,209.00,2.58
8.963,17762,0,45,2008,1999,2499,0.190,12.16,206.00,2.31
8.963,17763,0,45,2008,1999,2498,0.205,12.19,208.00,2.50
8.963,17803,0,46,2007,1998,2499,0.205,12.18,206.00,2.50
8.963,17804,0,46,2007,1997,2499,0.190,12.17,206.00,2.31
8.963,17805,0,46,2008,1999,2497,0.212,12.19,209.00,2.58
8.963,17806,0,46,2006,1998,2497,0.205,12.18,208.00,2.50
8.963,17807,0,46,2007,1998,2497,0.197,12.17,209.00,2.40
8.964,17808,0,46,2007,1998,2498,0.197,12.18,208.00,2.40
8.966,17809,0,46,2008,1999,2498,0.205,12.18,209.00,2.50
8.968,17810,0,46,2007,1999,2498,0.205,12.19,209.00,2.50
8.971,17811,0,46,2010,2001,2497,0.205,12.19,209.00,2.50
8.972,17812,0,46,2007,1999,2499,0.197,12.19,209.00,2.40
8.975,17813,0,46,2007,1998,2496,0.197,12.18,209.00,2.40
8.977,17814,0,46,2008,1999,2497,0.205,12.18,209.00,2.50
8.978,17815,0,46,2007,1998,2497,0.205,12.19,209.00,2.50
8.981,17816,0,46,2007,1999,2498,0.197,12.18,208.00,2.40
8.982,17817,0,46,2008,1999,2497,0.197,12.18,209.00,2.40
8.984,17818,0,46,2009,2000,2496,0.197,12.19,212.00,2.40
8.986,17819,0,46,2007,1998,2498,0.197,12.18,209.00,2.40
8.988,17820,0,46,2008,1999,2497,0.197,12.18,209.00,2.40
8.990,17821,0,46,2009,2000,2498,0.205,12.18,206.00,2.50
8.992,17822,0,46,2009,2001,2496,0.212,12.19,209.00,2.58
8.994,17823,0,46,2010,2001,2498,0.205,12.19,208.00,2.50
8.997,17824,0,47,2010,2001,2497,0.205,12.19,208.00,2.50
8.999,17825,0,47,2010,2000,2497,0.197,12.18,209.00,2.40
9.000,17826,0,47,2008,2000,2497,0.212,12.19,212.00,2.58
9.002,17827,0,47,2008,1999,2497,0.205,12.19,211.00,2.50
9.004,17828,0,47,2007,1998,2497,0.205,12.19,209.00,2.50
9.006,17829,0,47,2007,1999,2498,0.205,12.17,206.00,2.49
9.009,17830,0,47,2007,1999,2498,0.205,12.18,208.00,2.50
9.010,17831,0,47,2007,1997,2498,0.197,12.18,208.00,2.40
9.013,17832,0,47,2006,1997,2498,0.197,12.18,208.00,2.40
9.014,17833,0,47,2010,2000,2496,0.197,12.17,209.00,2.40
9.016,17834,0,47,2009,1999,2499,0.205,12.19,206.00,2.50
9.018,17835,0,47,2009,2000,2496,0.212,12.19,211.00,2.58
9.020,17836,0,47,2007,1998,2497,0.197,12.18,209.00,2.40
9.022,17837,0,47,2008,2000,2496,0.212,12.19,211.00,2.58
9.025,17838,0,47,2007,1999,2497,0.212,12.19,209.00,2.58
9.026,17839,0,47,2007,1999,2499,0.197,12.16,206.00,2.40
9.028,17840,0,47,2008,1999,2498,0.205,12.18,208.00,2.50
9.030,17841,0,47,2007,1999,2498,0.190,12.18,206.00,2.31
9.033,17842,0,47,2008,1999,2498,0.197,12.18,208.00,2.40
9.035,17843,0,47,2008,1998,2499,0.205,12.18,208.00,2.50
9.036,17844,0,47,2008,1999,2498,0.197,12.18,208.00,2.40
9.039,17845,0,47,2008,1999,2497,0.205,12.19,208.00,2.50
9.041,17846,0,47,2009,2000,2497,0.212,12.19,208.00,2.58
9.042,17847,0,47,2007,1999,2498,0.205,12.18,208.00,2.50
9.045,17848,0,47,2008,1999,2496,0.219,12.19,211.00,2.67
9.046,17849,0,47,2007,1998,2498,0.212,12.17,209.00,2.58
9.049,17850,0,47,2008,1997,2497,0.205,12.18,209.00,2.50
9.567,17851,0,47,2008,1998,2498,0.197,12.18,208.00,2.40
9.567,17852,0,47,2008,1999,2498,0.190,12.16,208.00,2.31
9.567,17853,0,47,2008,1999,2499,0.205,12.18,206.00,2.50
9.567,17854,0,47,2008,1999,2497,0.212,12.19,208.00,2.58
9.567,17855,0,47,2008,1999,2497,0.205,12.18,211.00,2.50
9.567,17856,0,47,2007,1999,2497,0.212,12.19,209.00,2.58
9.567,17857,0,47,2008,2000,2497,0.212,12.19,211.00,2.58
9.568,17858,0,47,2009,1999,2498,0.205,12.18,208.00,2.50
9.568,17859,0,47,2008,1999,2498,0.205,12.18,208.00,2.50
9.568,17860,0,47,2008,1999,2499,0.197,12.18,206.00,2.40
9.568,17861,0,47,2007,1998,2499,0.197,12.17,206.00,2.40
9.568,17862,0,47,2007,1999,2499,0.197,12.17,206.00,2.40
9.568,17863,0,47,2008,2000,2499,0.183,12.16,206.00,2.23
9.568,17864,0,47,2007,1998,2499,0.197,12.16,206.00,2.40
9.568,17865,0,47,2007,1999,2497,0.219,12.19,208.00,2.67
9.568,17866,0,47,2008,1999,2500,0.197,12.17,205.00,2.40
9.568,17867,0,47,2008,1999,2497,0.212,12.19,209.00,2.58
9.568,17868,0,47,2008,1999,2499,0.197,12.17,206.00,2.40
9.568,17869,0,47,2007,1999,2497,0.212,12.19,209.00,2.58
9.568,17870,0,47,2008,2000,2498,0.205,12.18,208.00,2.50
9.568,17871,0,47,2009,2000,2499,0.190,12.16,206.00,2.31
9.568,17872,0,47,2009,2000,2498,0.205,12.18,208.00,2.50
9.568,17873,0,47,2007,1999,2497,0.219,12.19,209.00,2.67
9.568,17874,0,47,2007,1999,2498,0.219,12.19,208.00,2.67
9.568,17875,0,47,2007,1999,2498,0.205,12.19,209.00,2.50
9.568,17876,0,47,2008,1999,2497,0.212,12.19,211.00,2.58
9.568,17877,0,47,2008,1999,2498,0.205,12.18,206.00,2.50
9.568,17878,0,47,2007,1998,2498,0.205,12.19,208.00,2.50
9.568,17879,0,47,2008,1999,2497,0.205,12.18,208.00,2.50
9.569,17880,0,47,2008,2000,2499,0.197,12.18,206.00,2.40
9.569,17881,0,47,2009,2000,2499,0.205,12.19,206.00,2.50
9.569,17882,0,47,2008,1999,2499,0.212,12.19,206.00,2.58
9.569,17883,0,47,2008,1999,2498,0.205,12.19,209.00,2.50
9.569,17884,0,48,2009,2000,2497,0.219,12.19,211.00,2.67
9.569,17885,0,48,2008,1999,2497,0.219,12.19,209.00,2.67
9.569,17886,0,48,2007,1998,2500,0.205,12.17,205.00,2.49
9.569,17887,0,48,2009,1999,2497,0.205,12.19,209.00,2.50
9.569,17888,0,48,2007,1999,2498,0.197,12.19,209.00,2.40
9.569,17889,0,48,2007,1998,2498,0.205,12.19,208.00,2.50
9.569,17890,0,48,2007,1997,2498,0.205,12.19,208.00,2.50
9.569,17891,0,48,2007,1998,2498,0.197,12.17,208.00,2.40
9.569,17892,0,48,2008,1998,2497,0.197,12.19,211.00,2.40
9.569,17893,0,48,2007,1999,2498,0.197,12.18,209.00,2.40
9.569,17894,0,48,2007,1998,2497,0.197,12.18,209.00,2.40
9.569,17895,0,48,2008,1998,2497,0.197,12.19,209.00,2.40
9.569,17896,0,48,2008,1999,2499,0.197,12.18,206.00,2.40
9.569,17897,0,48,2008,1999,2497,0.197,12.18,209.00,2.40
9.569,17898,0,48,2007,1998,2499,0.205,12.19,206.00,2.50
9.569,17899,0,48,2007,1997,2499,0.205,12.18,206.00,2.50
9.569,17900,0,48,2008,1999,2498,0.197,12.18,208.00,2.40
9.569,17901,0,48,2007,1998,2499,0.205,12.18,206.00,2.50
9.569,17902,0,48,2007,1998,2498,0.197,12.18,209.00,2.40
9.570,17903,0,48,2007,1999,2497,0.205,12.19,209.00,2.50
9.570,17904,0,48,2008,1999,2497,0.197,12.18,209.00,2.40
9.570,17905,0,48,2007,1998,2498,0.205,12.18,209.00,2.50
9.570,17906,0,48,2008,1999,2499,0.197,12.18,206.00,2.40
9.570,17907,0,48,2007,1998,2498,0.197,12.18,208.00,2.40
9.570,17908,0,48,2008,1999,2496,0.205,12.19,211.00,2.50
9.570,17909,0,48,2007,1998,2498,0.197,12.18,209.00,2.40
9.570,17910,0,48,2007,1998,2497,0.197,12.17,209.00,2.40
9.570,17911,0,48,2008,1999,2497,0.197,12.18,209.00,2.40
9.570,17912,0,48,2007,1998,2497,0.197,12.18,209.00,2.40
9.570,17913,0,48,2007,1998,2498,0.205,12.19,208.00,2.50
9.570,17914,0,48,2007,1997,2497,0.197,12.18,209.00,2.40
9.570,17915,0,48,2009,2000,2499,0.205,12.18,208.00,2.50
9.570,17916,0,48,2009,1999,2498,0.197,12.18,208.00,2.40
9.570,17917,0,48,2008,1999,2498,0.205,12.19,208.00,2.50
9.570,17918,0,48,2007,1998,2500,0.205,12.18,206.00,2.50
9.570,17919,0,48,2008,2000,2498,0.190,12.17,208.00,2.31
9.570,17920,0,48,2007,1999,2498,0.205,12.17,206.00,2.49
9.570,17921,0,48,2007,1998,2499,0.205,12.19,206.00,2.50
9.570,17922,0,48,2007,1998,2498,0.205,12.18,209.00,2.50
9.570,17923,0,48,2007,1999,2497,0.205,12.19,209.00,2.50
9.570,17924,0,48,2007,1998,2497,0.212,12.18,209.00,2.58
9.571,17925,0,48,2007,1998,2497,0.205,12.19,209.00,2.50
9.571,17926,0,48,2007,1997,2499,0.205,12.18,206.00,2.50
9.571,17927,0,48,2008,1999,2498,0.205,12.19,209.00,2.50
9.571,17928,0,48,2008,1999,2499,0.205,12.18,206.00,2.50
9.571,17929,0,48,2008,2000,2498,0.205,12.17,206.00,2.49
9.571,17930,0,48,2007,1998,2497,0.205,12.19,209.00,2.50
9.571,17931,0,48,2007,1999,2498,0.212,12.19,208.00,2.58
9.571,17932,0,48,2007,1998,2497,0.205,12.18,209.00,2.50
9.571,17933,0,48,2007,1999,2497,0.212,12.19,209.00,2.58
9.571,17934,0,48,2007,1999,2499,0.190,12.16,208.00,2.31
9.571,17935,0,48,2008,1999,2500,0.197,12.18,205.00,2.40
9.571,17936,0,48,2007,1999,2498,0.197,12.17,208.00,2.40
9.571,17937,0,48,2007,1999,2499,0.190,12.19,206.00,2.32
9.571,17938,0,48,2007,1998,2499,0.205,12.18,206.00,2.50
9.571,17939,0,48,2007,1999,2499,0.197,12.16,206.00,2.40
9.571,17940,0,48,2008,1999,2498,0.197,12.19,208.00,2.40
9.571,17941,0,48,2007,1998,2499,0.197,12.18,208.00,2.40
9.572,17942,0,48,2007,1999,2498,0.205,12.18,209.00,2.50
9.572,17943,0,48,2008,2000,2497,0.212,12.19,209.00,2.58
9.572,17944,0,49,2007,1998,2498,0.205,12.17,208.00,2.49
9.572,17945,0,49,2007,1998,2498,0.205,12.18,208.00,2.50
9.572,17946,0,49,2006,1998,2498,0.205,12.18,208.00,2.50
9.572,17947,0,49,2008,2000,2498,0.190,12.17,208.00,2.31
9.572,17948,0,49,2009,2000,2497,0.197,12.18,209.00,2.40
9.572,17949,0,49,2007,1998,2497,0.212,12.18,208.00,2.58
9.572,17950,0,49,2007,1998,2497,0.212,12.19,209.00,2.58
9.572,17951,0,49,2008,1999,2496,0.227,12.20,211.00,2.77
9.572,17952,0,49,2008,1999,2497,0.205,12.19,209.00,2.50
9.572,17953,0,49,2007,1998,2499,0.205,12.18,206.00,2.50
9.572,17954,0,49,2008,1999,2498,0.205,12.18,208.00,2.50
9.572,17955,0,49,2007,1999,2498,0.190,12.17,208.00,2.31
9.572,17956,0,49,2008,2000,2498,0.197,12.19,208.00,2.40
9.572,17957,0,49,2007,1998,2498,0.205,12.17,208.00,2.49
9.572,17958,0,49,2008,1999,2499,0.197,12.17,208.00,2.40
9.572,17959,0,49,2009,2000,2499,0.205,12.19,208.00,2.50
9.572,17960,0,49,2007,1998,2499,0.197,12.18,206.00,2.40
9.572,17961,0,49,2007,1998,2498,0.212,12.19,208.00,2.58
9.572,17962,0,49,2007,1998,2499,0.212,12.19,208.00,2.58
9.572,17963,0,49,2006,1998,2498,0.205,12.18,208.00,2.50
9.573,17964,0,49,2008,1998,2497,0.197,12.19,208.00,2.40
9.573,17965,0,49,2007,1998,2498,0.205,12.18,208.00,2.50
9.573,17966,0,49,2006,1997,2499,0.197,12.17,206.00,2.40
9.573,17967,0,49,2007,1998,2500,0.205,12.18,206.00,2.50
9.573,17968,0,49,2007,1997,2498,0.197,12.18,208.00,2.40
9.573,17969,0,49,2007,1997,2497,0.197,12.18,209.00,2.40
9.573,17970,0,49,2006,1996,2498,0.197,12.19,208.00,2.40
9.573,17971,0,49,2007,1998,2497,0.190,12.18,209.00,2.31
9.573,17972,0,49,2007,1998,2497,0.205,12.18,208.00,2.50
9.573,17973,0,49,2008,2000,2498,0.197,12.19,208.00,2.40
9.573,17974,0,49,2008,2000,2499,0.197,12.18,208.00,2.40
9.573,17975,0,49,2009,2001,2498,0.212,12.19,209.00,2.58
9.573,17976,0,49,2009,2000,2499,0.190,12.18,208.00,2.31
9.573,17977,0,49,2008,2000,2498,0.205,12.18,206.00,2.50
9.573,17978,0,49,2008,1999,2496,0.205,12.19,211.00,2.50
9.573,17979,0,49,2007,1999,2497,0.212,12.19,209.00,2.58
9.573,17980,0,49,2008,2000,2496,0.212,12.19,211.00,2.58
9.573,17981,0,49,2006,1998,2499,0.190,12.16,206.00,2.31
9.573,17982,0,49,2008,1999,2497,0.212,12.19,211.00,2.58
9.573,17983,0,49,2008,2000,2498,0.205,12.19,208.00,2.50
9.573,17984,0,49,2007,1998,2498,0.205,12.18,208.00,2.50
9.573,17985,0,49,2006,1997,2499,0.205,12.18,208.00,2.50
9.573,17986,0,49,2007,1998,2498,0.197,12.18,208.00,2.40
9.573,17987,0,49,2007,1998,2497,0.197,12.18,211.00,2.40
9.573,17988,0,49,2008,2000,2496,0.205,12.18,211.00,2.50
9.573,17989,0,49,2006,1997,2498,0.190,12.17,208.00,2.31
9.574,17990,0,49,2007,1998,2497,0.293,12.16,209.00,3.56
9.574,17991,0,49,2007,1999,2497,0.402,12.17,211.00,4.89
9.574,17992,0,49,2007,1999,2499,0.476,12.15,208.00,5.78
9.574,17993,0,49,2008,2000,2498,0.556,12.17,208.00,6.77
9.574,17994,0,49,2010,2000,2499,0.586,12.15,208.00,7.12
9.574,17995,0,49,2007,1999,2499,0.659,12.15,206.00,8.01
9.574,17996,0,49,2004,2000,2498,0.710,12.16,209.00,8.63
9.574,17997,0,49,2006,1999,2496,0.754,12.17,211.00,9.18
9.574,17998,0,49,2008,1999,2497,0.783,12.17,211.00,9.53
9.574,17999,0,49,2007,1999,2497,0.791,12.18,211.00,9.63
9.574,18000,0,49,2004,1998,2500,0.769,12.15,206.00,9.34
9.574,18001,0,49,2005,1998,2498,0.783,12.17,211.00,9.53
9.574,18002,0,49,2008,1998,2497,0.769,12.15,211.00,9.34
9.574,18003,0,49,2008,1997,2498,0.769,12.17,208.00,9.36
9.574,18004,0,50,2007,1998,2497,0.754,12.17,209.00,9.18
9.574,18005,0,50,2006,1997,2497,0.732,12.16,209.00,8.90
9.574,18006,0,50,2005,1998,2497,0.725,12.16,211.00,8.82
9.574,18007,0,50,2009,2001,2497,0.725,12.17,208.00,8.82
9.574,18008,0,50,2007,1998,2497,0.703,12.17,211.00,8.55
9.574,18009,0,50,2007,1999,2499,0.717,12.17,208.00,8.73
9.574,18010,0,50,2006,1999,2499,0.710,12.17,208.00,8.64
9.575,18011,0,50,2007,2000,2499,0.710,12.16,208.00,8.63
9.575,18012,0,50,2008,2000,2496,0.739,12.17,211.00,8.99
9.575,18013,0,50,2006,1999,2497,0.732,12.18,211.00,8.91
9.575,18014,0,50,2005,1997,2498,0.747,12.16,209.00,9.08
9.575,18015,0,50,2007,1999,2498,0.769,12.17,209.00,9.36
9.575,18016,0,50,2006,1998,2499,0.747,12.15,208.00,9.08
9.575,18017,0,50,2004,1998,2498,0.769,12.17,209.00,9.36
9.575,18018,796,50,2006,1998,2498,0.791,12.18,209.00,9.63
9.575,18019,796,50,2007,1997,2499,0.791,12.16,208.00,9.62
9.575,18020,796,50,2006,1999,2498,0.805,12.17,208.00,9.80
9.575,18021,796,50,2004,1999,2499,0.783,12.15,208.00,9.52
9.575,18022,796,50,2002,1998,2499,0.776,12.15,208.00,9.43
9.575,18023,796,50,2003,1998,2497,0.791,12.17,209.00,9.63
9.575,18024,796,50,2005,1998,2499,0.769,12.17,208.00,9.36
9.575,18025,796,50,2005,1998,2498,0.776,12.17,211.00,9.44
9.575,18026,796,50,2005,1998,2499,0.761,12.17,209.00,9.26
9.575,18027,796,50,2005,1997,2500,0.739,12.17,208.00,8.99
9.575,18028,796,50,2007,1999,2499,0.732,12.17,208.00,8.91
9.575,18029,796,50,2008,2000,2498,0.725,12.17,208.00,8.82
9.575,18030,796,50,2007,1998,2498,0.725,12.18,211.00,8.83
9.576,18031,796,50,2004,1998,2499,0.710,12.17,208.00,8.64
9.576,18032,796,50,2004,1998,2499,0.703,12.16,208.00,8.55
9.576,18033,796,50,2004,1998,2499,0.710,12.15,209.00,8.63
9.576,18034,796,50,2006,1999,2498,0.703,12.17,209.00,8.55
9.576,18035,796,50,2006,1999,2500,0.695,12.17,209.00,8.46
9.576,18036,796,50,2004,1997,2500,0.688,12.17,208.00,8.37
9.576,18037,796,50,2006,2000,2499,0.673,12.17,209.00,8.19
9.576,18038,796,50,2006,2000,2499,0.666,12.17,209.00,8.10
9.576,18039,796,50,2006,1999,2500,0.666,12.16,206.00,8.10
9.576,18040,796,50,2005,1998,2499,0.666,12.18,209.00,8.11
9.576,18041,796,50,2005,1998,2500,0.652,12.16,208.00,7.93
9.576,18042,796,50,2004,1998,2501,0.637,12.16,208.00,7.75
9.576,18043,796,50,2004,1998,2500,0.644,12.17,208.00,7.84
9.576,18044,796,50,2005,1998,2499,0.630,12.17,209.00,7.67
9.576,18045,796,50,2005,1998,2500,0.637,12.17,208.00,7.75
9.576,18046,796,50,2003,1996,2500,0.615,12.17,206.00,7.48
